縣市,鄉鎮市區,路口,件數,死亡人數,受傷人數,補助
新北市,土城區,學府路一段、裕民路,3,0,6,無
臺北市,萬華區,桂林路、華西街,3,0,6,有
新北市,永和區,中正路、秀朗路一段,3,0,6,無
桃園市,中壢區,新中北路、新中一街,3,0,6,有
臺南市,東區,北門路一段、北門路一段30巷,3,0,6,有
臺南市,東區,東門路二段、林森路一段,3,0,6,有
臺中市,南區,復興路一段、樹義路,3,0,6,有
臺北市,文山區,興隆路三段、興隆路三段185巷,3,0,6,有
新北市,新店區,安康路三段207巷、安康路三段,3,0,6,有
桃園市,中壢區,文化路、長春路,3,0,6,有
高雄市,楠梓區,德賢路550巷、德賢路,3,0,6,有
高雄市,前金區,七賢二路、河東路,3,0,6,有
新北市,樹林區,中山路三段、佳園路一段,3,0,6,有
高雄市,旗山區,延平一路、仁和街,3,0,6,無
桃園市,龜山區,山鶯路、山鶯路文華巷,3,0,6,無
新北市,中和區,中安街、安平路,3,0,6,無
臺北市,中正區,懷寧街、漢口街一段,3,0,6,有
新北市,板橋區,民族路、民權路,3,0,6,有
臺南市,中西區,成功路、公園路,3,0,6,有
臺北市,士林區,中山北路五段、中正路,3,0,6,有
桃園市,龜山區,萬壽路二段、金福街,3,0,6,無
桃園市,桃園區,中山東路、朝陽街,3,0,6,有
桃園市,桃園區,中山東路、福昌街,3,0,6,有
臺北市,中山區,南京東路三段、復興北路,3,0,6,有
高雄市,鼓山區,南屏路、昌盛路,3,0,6,有
桃園市,中壢區,中正路、復興路,3,0,6,有
新北市,蘆洲區,民族路、信義路,4,0,4,無
臺中市,北區,太原路二段、永興街,4,0,4,有
桃園市,平鎮區,中豐路南勢二段、南京路,4,0,4,有
臺北市,中山區,林森北路、農安街,4,0,4,有
桃園市,桃園區,南平路、永安北路,4,0,4,有
高雄市,左營區,榮總路、榮佑路,4,0,4,有
新北市,中和區,中正路、南山路,4,0,4,無
新北市,板橋區,萬板路、莊敬路,4,0,4,有
新北市,新莊區,新泰路、復興路,4,0,4,無
臺北市,內湖區,成功路三段、星雲街,4,0,4,有
臺北市,內湖區,港墘路、港華街,4,0,4,有
新北市,新店區,北新路二段、寶橋路,4,0,4,無
桃園市,八德區,和平路、和義一街,4,0,4,有
桃園市,大溪區,康莊路、復興路,4,0,4,無
桃園市,平鎮區,延平路一段、新榮路,4,0,4,有
桃園市,桃園區,春日路、成功路二段,4,0,4,無
新北市,三重區,三陽路、名源街,4,0,4,無
新北市,汐止區,大同路三段、長安路,4,0,4,無
新北市,汐止區,新台五路一段、秀峰路,4,0,4,無
臺北市,中正區,忠孝東路二段、臨沂街,4,0,4,有
臺北市,信義區,松智路、松平路,4,0,4,有
桃園市,桃園區,大林路、延平路,4,0,4,有
桃園市,龜山區,文青路、文學路,4,0,4,有
新北市,中和區,中山路二段、員山路,4,0,4,無
新北市,汐止區,新台五路一段、仁愛路,4,0,4,無
新北市,板橋區,信義路150巷、信義路,4,0,4,有
臺北市,大同區,承德路二段、錦西街,4,0,4,有
臺北市,中山區,長春路、伊通街,4,0,4,有
臺北市,中正區,中山北路一段、北平東路,4,0,4,有
新北市,樹林區,樹新路、保順街,4,0,4,無
桃園市,龜山區,中和南路、新樂街,4,0,4,有
新北市,板橋區,民生路一段、長安街,4,0,4,有
新北市,新店區,民族路、建國路,4,0,4,無
臺北市,中山區,中山北路三段、農安街,4,0,4,有
臺北市,中正區,金山南路一段、濟南路二段,4,0,4,有
臺北市,中正區,羅斯福路一段、寧波東街,4,0,4,有
臺北市,信義區,永吉路、松山路,4,0,4,有
